name,street,city,state,category,address
Anishinabe Elementary School (located at Sullivan Elementary School),3100 East 28th St,Minneapolis,MN,Elementary School,3100 East 28th St Minneapolis MN
Armatage Elementary School,2501 West 56th St,Minneapolis,MN,Elementary School,2501 West 56th St Minneapolis MN
Bancroft Elementary School,3829 13th Ave S,Minneapolis,MN,Elementary School,3829 13th Ave S Minneapolis MN
Barton Elementary School,4237 Colfax Ave S,Minneapolis,MN,Elementary School,4237 Colfax Ave S Minneapolis MN
Bethune Arts Elementary School,919 Emerson Ave N,Minneapolis,MN,Elementary School,919 Emerson Ave N Minneapolis MN
Bryn Mawr Elementary School,252 Upton Ave S,Minneapolis,MN,Elementary School,252 Upton Ave S Minneapolis MN
Burroughs Elementary School,1601 West 50th St,Minneapolis,MN,Elementary School,1601 West 50th St Minneapolis MN
Cityview Elementary School,3350 4th St N,Minneapolis,MN,Elementary School,3350 4th St N Minneapolis MN
Dowling Elementary School,3900 West River Parkway,Minneapolis,MN,Elementary School,3900 West River Parkway Minneapolis MN
Ella Baker Global Studies & Humanities School (formerly Jefferson Global Studies & Humanities),1200 West 26th St,Minneapolis,MN,Elementary School,1200 West 26th St Minneapolis MN
Emerson Dual Language School,120 15th St W,Minneapolis,MN,Elementary School,120 15th St W Minneapolis MN
Field Elementary School,4645 4th Ave S,Minneapolis,MN,Elementary School,4645 4th Ave S Minneapolis MN
Folwell Elementary School,3611 20th Ave S,Minneapolis,MN,Elementary School,3611 20th Ave S Minneapolis MN
Green Central Dual Language Elementary School,3416 4th Ave S,Minneapolis,MN,Elementary School,3416 4th Ave S Minneapolis MN
Hale Elementary School,5330 13th Ave S,Minneapolis,MN,Elementary School,5330 13th Ave S Minneapolis MN
Hall STEM Academy,1601 Aldrich Ave N,Minneapolis,MN,Elementary School,1601 Aldrich Ave N Minneapolis MN
Hiawatha Elementary School,4201 42nd Ave S,Minneapolis,MN,Elementary School,4201 42nd Ave S Minneapolis MN
Hmong International Academy,1501 30th Ave N,Minneapolis,MN,Elementary School,1501 30th Ave N Minneapolis MN
Howe Elementary School,3733 43rd Ave S,Minneapolis,MN,Elementary School,3733 43rd Ave S Minneapolis MN
Kenny Elementary School,5720 Emerson Ave S,Minneapolis,MN,Elementary School,5720 Emerson Ave S Minneapolis MN
Kenwood Elementary School,2013 Penn Ave S,Minneapolis,MN,Elementary School,2013 Penn Ave S Minneapolis MN
Lake Harriet Lower Elementary School,4030 Chowen Ave S,Minneapolis,MN,Elementary School,4030 Chowen Ave S Minneapolis MN
Lake Harriet Upper Elementary School,4912 Vincent Ave S,Minneapolis,MN,Elementary School,4912 Vincent Ave S Minneapolis MN
